category,meanRAX,sdRAX,minRAX,maxRAX,lenRAX,stepRAX,rmsRAX,entropy1RAX,entrpy2RAX,fftRAX,meanRAY,sdRAY,minRAY,maxRAY,lenRAY,stepRAY,rmsRAY,entropy1RAY,entrpy2RAY,fftRAY,meanRAZ,sdRAZ,minRAZ,maxRAZ,lenRAZ,stepRAZ,rmsRAZ,entropy1RAZ,entrpy2RAZ,fftRAZ,meanGX,sdGX,minGX,maxGX,lenGX,stepGX,rmsGX,entropy1GX,entrpy2GX,fftGX,meanGY,sdGY,minGY,maxGY,lenGY,stepGY,rmsGY,entropy1GY,entrpy2GY,fftGY,meanGZ,sdGZ,minGZ,maxGZ,lenGZ,stepGZ,rmsGZ,entropy1GZ,entrpy2GZ,fftGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.14125,1.0417,-2.617,1.5412,43,860,1.0391,1.5365,46.431,1.0045,1.2572,0.9172,-0.11511,2.6877,43,860,1.5499,4.8539,103.29,0.29559,8.8677,1.8393,5.6627,10.992,43,860,9.0521,5.3943,3523.4,1.5839,-1.1213,0.30707,-1.4876,-0.57623,43,860,1.1617,5.3714,58.028,0.3239,0.41962,0.44664,-0.88153,1.0281,43,860,0.60904,4.9331,15.95,0.36469,1.0881,0.17734,0.56398,1.4194,43,860,1.1022,5.4067,52.235,0.17012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.74985,2.317,-1.3484,6.2357,32,640,2.4006,1.7381,184.41,1.6766,-0.14108,0.49413,-0.82228,0.56398,32,640,0.5064,2.9108,8.206,0.4162,10.27,2.3558,9.0136,17.342,32,640,10.529,4.9686,3547.2,1.8559,-0.76197,0.29311,-1.2272,-0.10437,32,640,0.81475,4.8689,21.242,0.16956,-0.34978,0.67964,-1.2034,0.69035,32,640,0.75487,3.3282,18.234,0.63916,1.6425,0.31558,1.1594,2.3013,32,640,1.6716,4.9741,89.418,0.2629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.60239,1.4174,-0.38628,6.2357,41,820,1.5241,3.0351,95.238,0.90138,-0.9712,0.57773,-1.8084,0.5519,41,820,1.1264,5.0165,52.023,0.38292,10.346,1.9372,7.3773,17.342,41,820,10.521,5.335,4538.3,1.1425,0.40484,0.28774,-0.10437,0.83286,41,820,0.49464,4.9386,10.031,0.10455,0.82924,0.4343,-0.42303,1.5472,41,820,0.93362,5.0645,35.738,0.28303,1.2876,0.34459,0.68604,2.3013,41,820,1.3318,5.3123,72.723,0.16085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.024116,0.39295,-0.86726,0.67598,99,1980,0.39171,2.4294,15.19,0.27188,-0.018832,0.47139,-0.84276,1.0325,99,1980,0.46938,4.0658,21.811,0.35483,9.4983,1.2299,4.7802,10.941,99,1980,9.5768,6.6154,9079.9,0.64055,0.022932,0.098333,-0.17407,0.25024,99,1980,0.10049,2.9723,0.99966,0.08067,-0.16681,0.3534,-1.4209,0.24249,99,1980,0.38917,4.3734,14.994,0.29388,0.46001,0.47794,0.016953,1.8791,99,1980,0.66161,5.9088,43.335,0.46145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.11245,0.21974,-0.38896,0.50569,101,2020,0.24587,5.2105,6.1055,0.12504,-0.13334,0.28234,-0.58928,0.54291,101,2020,0.31098,5.2043,9.7674,0.30202,9.7154,0.45007,8.4783,10.342,101,2020,9.7258,6.6567,9553.6,0.43622,-0.0070973,0.014755,-0.042145,0.031799,101,2020,0.016307,5.2361,0.026858,0.011033,-0.0080477,0.017603,-0.050537,0.023499,101,2020,0.019276,4.6253,0.037527,0.010626,0.0076176,0.0086283,-0.0050812,0.019836,101,2020,0.011478,5.5062,0.013306,0.0075241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.052014,0.23666,-0.45267,0.74548,163,3260,0.2416,4.3709,9.5141,0.12572,-0.15096,0.20935,-0.54443,0.48419,163,3260,0.25758,6.3572,10.815,0.15024,9.7395,0.50112,8.5953,10.688,163,3260,9.7523,7.3468,15502,0.38536,-0.0040166,0.016219,-0.038803,0.018036,163,3260,0.01666,3.7436,0.045244,0.01565,-0.0014174,0.014808,-0.028366,0.036133,163,3260,0.014831,3.9118,0.035852,0.0091503,-0.0037015,0.0056465,-0.016113,0.0079041,163,3260,0.0067371,6.0156,0.0073984,0.0054412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.015811,0.24682,-0.42812,0.37439,64,1280,0.24539,0.90809,3.8539,0.17281,-0.18964,0.30642,-0.70102,0.44417,64,1280,0.35832,4.8153,8.2169,0.18557,9.6966,0.4164,8.9987,10.503,64,1280,9.7054,5.9987,6028.5,0.36007,-0.013215,0.018082,-0.0448,0.019989,64,1280,0.022282,4.7773,0.031774,0.014764,-0.00016093,0.010193,-0.018417,0.016739,64,1280,0.010115,-8.0724,0.0065478,0.0077815,-0.012838,0.0065777,-0.02507,-0.0047913,64,1280,0.014402,5.824,0.013274,0.0077449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.12897,0.20732,-0.43367,0.23755,60,1200,0.24269,4.5807,3.534,0.16884,-0.076831,0.21786,-0.47411,0.31248,60,1200,0.22929,4.1927,3.1544,0.16575,9.7468,0.31785,9.2834,10.362,60,1200,9.7519,5.9061,5706,0.23914,-0.0033002,0.012645,-0.02301,0.020844,60,1200,0.012966,4.3063,0.010087,0.014365,-0.0031425,0.011718,-0.018127,0.023102,60,1200,0.012037,3.6595,0.0086938,0.0084985,-0.012032,0.0070073,-0.024384,-0.00074768,60,1200,0.013895,5.6421,0.011584,0.0085712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-0.1324,0.20555,-0.49022,0.22861,32,640,0.24179,3.7454,1.8707,0.16666,-0.30256,0.32247,-0.71063,0.21353,32,640,0.4385,4.0104,6.153,0.36,9.7559,0.5408,9.0422,10.707,32,640,9.7704,4.9979,3054.8,0.56664,-0.0093632,0.01622,-0.034363,0.014053,32,640,0.018508,3.1028,0.010961,0.0078171,-0.012068,0.011864,-0.029541,0.0090942,32,640,0.016793,4.304,0.0090243,0.0088853,-0.011,0.004828,-0.021927,-0.0009613,32,640,0.011982,4.8428,0.0045944,0.0013186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.15461,0.2292,-0.5826,0.080536,35,700,0.27375,3.6865,2.6228,0.10131,-0.1529,0.1906,-0.63144,0.23491,35,700,0.24222,4.2371,2.0535,0.17591,9.68,0.40834,9.1516,10.481,35,700,9.6884,5.128,3285.2,0.37426,-0.0015407,0.01115,-0.021179,0.020691,35,700,0.011097,2.1929,0.00431,0.010649,-0.0011318,0.012011,-0.019852,0.025482,35,700,0.011892,4.1816,0.0049499,0.009339,-0.013724,0.0069901,-0.022842,-0.0057526,35,700,0.015356,4.9404,0.0082537,0.0026925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
